"id";"application";"age";"city";"date_of_birth";"email";"first_name";"is_primary_applicant";"last_name";"phone_number";"postal_code";"ssn_suffix";"street_address"
11;86;;"Helsinki";;;"Sakari Kalervo";-1;"Riihijärvi";"09-7752376";"00320";;"Mannerheimintie 29 B 24"
1000011;86;;;;;"Jaana Irmeli";0;"Lehtonen-Riihijärvi";;;;
1000071;87;;;;;"Kaarina";0;"Rikala";;;;
71;87;;"Helsinki";;"kte@tkoy.com";"Pertti";-1;"Rikala";"050-523508";"00940";;"Naapurintie 3 B 23"
17;88;;"Helsinki";;;"Erkki Olavi";-1;"Ristola";"09-3201487";"00120";;"Annakatu 17 C 32"
1000017;88;;;;;"Jaana Helena";0;"Ristola";;;;
1000046;89;;;;;"Aulikki Ellen";0;"Peltomäki";;;;
46;89;;"Vantaa";;;"Juhani";-1;"Salmenkylä";;"01750";;"Vestrantie 17 H 74"
1000027;90;;;;;"Janita Kaarina";0;"Salo";;;;
27;90;;"Helsinki";;;"Einari Erkki";-1;"Salo";;"00150";;"Mannerheimintie 15"
29;91;;"Helsinki";;;"Akseli Johannes";-1;"Saloranta";;"00540";;"Kokkolankatu 10"
1000029;91;;;;;"Irmeli Aune";0;"Saloranta";;;;
1000047;92;"52";"Vantaa";"3.3.1970";;"Jarmo Oskari";0;"Seppänen";;"01541";"-2232";"Koivikkotie 50 A 5"
47;92;"51";"Vantaa";"24.3.1971";"a.l.seppanen@demodomain.fi";"Anna Leena";-1;"Seppänen";"0500 442345";"01541";"-2361";"Koivikkotie 50 A 5"
33;93;;"Porvoo";;;"Gustaf Adolf";-1;"Strengtröm";;"03460";;"Porvoonkatu 23 D 39"
1000033;93;;;;;"Karin";0;"Strengtröm";;;;
64;94;"62";"Helsinki";"1.3.1960";"vahvistukset@tkoy.com";"Pekka";-1;"Virtamäki";"040 7008000";"00940";"-031C";"Virtakatu 10 C 25"
1000064;94;"61";"Helsinki";"3.12.1960";"elina.virtamaki@demodomain.fi";"Elina";0;"Virtamäki";"050 3004000";"00940";"-2234";"Virtakatu 10 C 25"
155;96;"71";"Helsinki";"12.7.1951";"seija.aaltonen@demodomain.fi";"Seija Marjatta";-1;"Aaltonen";"09 5854873";"00110";"-275B";"Tehtaankatu 17 C 68"
170;97;"56";"Helsinki";"27.12.1965";"timo.aarikki@demodomain.fi";"Timo Kimmo Tapio";-1;"Aarikki";" 991350";"00110";"-418O";"Hallituskatu 74 H 19"
1000170;97;"58";"Helsinki";"23.9.1963";"sari.aikava@demodomain.fi";"Sari Minna Hannele";0;"Aikava";"09 8975540";"00150";"-007D";"Liisankatu 23 F 59"
186;98;"67";"Helsinki";"15.7.1955";"kari-pekka.ahlgren@demodomain.fi";"Kari-Pekka";-1;"Ahlgren";" 2821617";"00100";"-0341";"Aleksanterinkatu 4 H 22"
1000186;98;"66";"Helsinki";"28.7.1956";"marianne.aittajoki@demodomain.fi";"Marianne";0;"Aittajoki";"050 6345552";"00160";"-708L";"Vuorikatu 90 D 4"
127;99;"88";"Helsinki";"20.12.1933";"aira.ahopiha@demodomain.fi";"Aira Annikki";-1;"Ahopiha";"050 191940";"00140";"-6397";"Keskuskatu 100 J 74"
1000199;100;"62";"Helsinki";"15.8.1959";"marita.etäkorpi@demodomain.fi";"Marita";0;"Etäkorpi";" 3207980";"00110";"-691R";"Mikonkatu 52 C 6"
