"id";"city";"date_of_birth";"email";"first_name";"last_name";"phone_number";"postal_code";"street_address";"calling_name";"national_identification_number";"phone_number_nightly"
9;"Helsinki";"12.7.1963";"posti@mail.fi";"Pirjo Kaarina";"Mäkinen";"112 3345";"00001";"Testikatu 1 A 2";"Pirjo";"120763-123Y";"440 2298"
11;"Helsinki";;;"Sakari Kalervo";"Riihijärvi";"09-7752376";"00320";"Mannerheimintie 29 B 24";"Sakari";;"0400-227689"
15;"Grankulla";;"b.b@tkoy.com";"Bertil Olof";"Bäckström";"09-234879";"02398";"Helsinforsvägen 15";"Bertil";;"09-224785"
17;"Helsinki";;;"Erkki Olavi";"Ristola";"09-3201487";"00120";"Annakatu 17 C 32";"Erkki";;"09-432738"
27;"Helsinki";;;"Einari Erkki";"Salo";;"00150";"Mannerheimintie 15";"Einari";;
29;"Helsinki";;;"Akseli Johannes";"Saloranta";;"00540";"Kokkolankatu 10";"Akseli";;
33;"Porvoo";;;"Gustaf Adolf";"Strengtröm";;"03460";"Porvoonkatu 23 D 39";"Gustaf";;
36;"Helsinki";;;"Heikki";"Nurmela";;"00040";"Bulevardi 16 C 21";"Heikki";;
46;"Vantaa";;;"Juhani";"Salmenkylä";;"01750";"Vestrantie 17 H 74";"Juhani";;
47;"Vantaa";"24.3.1971";"a.l.seppanen@demodomain.fi";"Anna Leena";"Seppänen";"0500 442345";"01541";"Koivikkotie 50 A 5";"Anna";"240371-2361";
60;"Lahti";"12.3.1981";"vahvistukset@tkoy.com";"Kalevi";"Lahtinen";"040-600509";"00001";"Lahtikatu 1";"Kalevi";"120381-025D";
62;"Helsinki";"12.10.1982";"testaaja@tkoy.com";"Taisto";"Hartikainen";"0500405894";"00970";"Metsänhoitajantie 70 B 15";"Taisto";"121082-223C";"0500405894"
64;"Helsinki";"1.3.1960";"vahvistukset@tkoy.com";"Pekka";"Virtamäki";"040 7008000";"00940";"Virtakatu 10 C 25";"Pekka";"010360-031C";
69;"Lahti";;"riikka.kankainen@tkoy.com";"Riikka";"Kankainen";"040-801502";"00721";"Aaltokatu 10 F 23";"Riikka";;
70;"Helsinki";;"jussi.makela@tkoy.com";"Jussi";"Mäkelä";"041-712508";"00940";"Kivalterintie 3 D 17";"Jussi";;
71;"Helsinki";;"kte@tkoy.com";"Pertti";"Rikala";"050-523508";"00940";"Naapurintie 3 B 23";"Pertti";;
72;"Helsinki";"12.12.1984";"jaana.koskela@tkoy.com";"Jaana";"Koskela";"045-723502";"00940";"Naapurintie 6 F 32";"Jaana";"121284-1244";
79;"Helsinki";;"kte@tkoy.com";"Paavo";"Mäntynen";"0501244444";"00550";"Kinttupolku 2";"Paavo";;
89;"Helsinki";;"tkoy@pp.inet.fi";"Liisa";"Mustonen";"0407237614";"00530";"3.linja 32 A 27";"Liisa";"220369";
105;"Helsinki";"15.1.1964";"kaarle.kekkonen@tkoy.com";"Kaarle";"Kekkonen";"040115226";"00230";"Kaarlekuja 5 A 1";"Kaarle";"150164-345M";
106;"Helsinki";"10.10.1942";"lasse.kaitluoto@demodomain.fi";"Lasse Matti Johannes";"Kaitluoto";"09 4818562";"00130";"Annankatu 62 E 88";"Lasse";"101042-993P";"09 7422502"
107;"Helsinki";"12.11.1941";"seppo.musula@demodomain.fi";"Seppo Kalevi";"Musula";"09 372645";"00120";"Erottaja 5 F 73";"Seppo";"121141-784S";"09 8486274"
108;"Helsinki";"6.4.1947";"chris-marie.mikkonen@demodomain.fi";"Chris-Marie";"Mikkonen";"09 2109830";"00120";"Bulevardi 57 I 62";"Chris-Marie";"060447-3775";"09 4796439"
110;"Helsinki";"3.4.1981";"lauri.ruusukivi@demodomain.fi";"Lauri";"Ruusukivi";"09 6196196";"00120";"Bulevardi 89 C 41";"Lauri";"030481-647C";"09 224716"
112;"Helsinki";"17.12.1942";"hans.saarisola@demodomain.fi";"Hans Erik";"Saarisola";"09 5498640";"00110";"Kapteeninkatu 60 I 62";"Hans";"171242-056Y";"09 801419"
113;"Helsinki";"20.6.1950";"jukka.nyholm@demodomain.fi";"Jukka Tapani";"Nyholm";"09 972512";"00110";"Kapteeninkatu 18 K 91";"Jukka";"200650-296F";"09 5372130"
115;"Helsinki";"25.9.1957";"mauri.kukkaketo@demodomain.fi";"Mauri Juhani";"Kukkaketo";"09 7818079";"00100";"Aleksanterinkatu 77 I 15";"Mauri";"250957-110H";"09 6471650"
116;"Helsinki";"13.6.1963";"egil.mäkinen@demodomain.fi";"Egil Alexander";"Mäkinen";"040 6237860";"00160";"Vuorikatu 50 E 40";"Egil";"130663-898T";"09 5171667"
117;"Helsinki";"20.2.1960";"outi.mäkinen@demodomain.fi";"Outi Kristiina Aliina";"Mäkinen";"09 6907395";"00110";"Hallituskatu 42 I 99";"Outi";"200260-072Q";"09 862298"
119;"Helsinki";"10.1.1948";"pirkko.lehto@demodomain.fi";"Pirkko Kaarina";"Lehto";"09 1886947";"00140";"Keskuskatu 10 H 79";"Pirkko";"100148-930E";"09 8671569"
120;"Helsinki";"20.7.1953";"simo-pekka.lehto@demodomain.fi";"Simo-Pekka";"Lehto";"09 692210";"00110";"Merikatu 74 H 60";"Simo-Pekka";"200753-1650";"09 7156108"
121;"Helsinki";"7.3.1941";"seppo.jansson@demodomain.fi";"Seppo Juhani";"Jansson";"09 1271693";"00110";"Kapteeninkatu 74 J 37";"Seppo";"070341-147Y";"09 1566910"
122;"Helsinki";"18.1.1948";"sirpa.ohtala@demodomain.fi";"Sirpa Anneli";"Ohtala";"09 1616524";"00110";"Kapteeninkatu 78 H 28";"Sirpa";"180148-089Z";"09 7868442"
123;"Helsinki";"13.11.1945";"kirsi.heiskanen@demodomain.fi";"Kirsi Helena";"Heiskanen";"09 849386";"00110";"Mikonkatu 49 B 6";"Kirsi";"131145-017G";"09 6442727"
124;"Helsinki";"18.9.1966";"jarno.harju@demodomain.fi";"Jarno Mikael";"Harju";"09 3833886";"00160";"Vuorikatu 51 K 94";"Jarno";"180966-725H";"09 8715429"
126;"Helsinki";"7.11.1936";"sirkka-liisa.savolainen@demodomain.fi";"Sirkka-Liisa Helena";"Savolainen";"09 2513835";"00110";"Merikatu 41 A 19";"Sirkka-Liisa";"071136-683C";"09 7240094"
127;"Helsinki";"20.12.1933";"aira.ahopiha@demodomain.fi";"Aira Annikki";"Ahopiha";"050 191940";"00140";"Keskuskatu 100 J 74";"Aira";"201233-6397";"09 1846583"
128;"Helsinki";"16.2.1947";"hanna.laakso@demodomain.fi";"Hanna Terhikki";"Laakso";"09 6301773";"00110";"Mikonkatu 83 C 38";"Hanna";"160247-222O";"09 5465634"
129;"Helsinki";"24.8.1963";"janne.gustafsson@demodomain.fi";"Janne Ilmari";"Gustafsson";"0500 3418201";"00100";"Mannerheimintie 54 H 55";"Janne";"240863-6851";"09 4896161"
130;"Helsinki";"17.7.1940";"olli.pesonen@demodomain.fi";"Olli Heikki";"Pesonen";"09 1850470";"00110";"Kapteeninkatu 89 H 56";"Olli";"170740-6522";"09 2958292"
131;"Helsinki";"3.7.1946";"anne.ekokallio@demodomain.fi";"Anne Maritta";"Ekokallio";"09 3915236";"00130";"Annankatu 21 L 7";"Anne";"030746-297T";"09 118676"
132;"Helsinki";"3.11.1942";"arvi.ryytimaa@demodomain.fi";"Arvi Antero";"Ryytimaa";"09 3219290";"00110";"Hallituskatu 34 L 15";"Arvi";"031142-039P";"09 5815986"
133;"Helsinki";"22.1.1940";"krister.liljavuori@demodomain.fi";"Krister Eirik";"Liljavuori";"09 7283456";"00120";"Bulevardi 71 I 57";"Krister";"220140-7721";"09 6778800"
134;"Helsinki";"1.11.1946";"sirpa.kopsi@demodomain.fi";"Sirpa Anita Elisabet";"Kopsi";"09 8682875";"00160";"Vuorikatu 49 E 41";"Sirpa";"011146-260V";"09 1485283"
135;"Helsinki";"20.4.1937";"tom.lännes@demodomain.fi";"Tom Antero";"Lännes";"0400 7108803";"00120";"Bulevardi 64 G 84";"Tom";"200437-510Y";"09 6217445"
136;"Helsinki";"11.9.1937";"tuula.nikander@demodomain.fi";"Tuula";"Nikander";"09 2722599";"00120";"Bulevardi 96 K 63";"Tuula";"110937-346T";"09 5730959"
137;"Helsinki";"25.5.1951";"anne.hänninen@demodomain.fi";"Anne Marjatta";"Hänninen";"09 4668332";"00130";"Annankatu 76 B 25";"Anne";"250551-829B";"09 1294308"
138;"Helsinki";"18.6.1954";"jarmo.hiltunen@demodomain.fi";"Jarmo";"Hiltunen";"09 6486782";"00110";"Hallituskatu 79 G 41";"Jarmo";"180654-438R";"09 4433221"
139;"Helsinki";"1.5.1961";"marko.kajander@demodomain.fi";"Marko Arvi August";"Kajander";"09 1625002";"00130";"Annankatu 93 D 62";"Marko";"010561-733A";"09 5863551"
140;"Helsinki";"23.10.1940";"kari.rajala@demodomain.fi";"Kari";"Rajala";" 2889387";"00110";"Merikatu 22 H 33";"Kari";"231040-424E";" 8404808"
142;"Helsinki";"22.6.1955";"heikki.nuottio@demodomain.fi";"Heikki";"Nuottio";" 2281892";"00110";"Tehtaankatu 100 D 40";"Heikki";"220655-364Z";" 6415250"
144;"Helsinki";"22.4.1955";"jorma.ohraluhta@demodomain.fi";"Jorma";"Ohraluhta";" 2380770";"00130";"Annankatu 59 H 54";"Jorma";"220455-738I";"09 6428002"
147;"Helsinki";"24.9.1946";"pertti.juotsi@demodomain.fi";"Pertti Olavi";"Juotsi";" 7279635";"00150";"Liisankatu 9 G 45";"Pertti";"240946-3136";" 7356038"
150;"Helsinki";"24.1.1957";"eeva.rissanen@demodomain.fi";"Eeva";"Rissanen";"09 5947458";"00110";"Tehtaankatu 33 H 97";"Eeva";"240157-288Q";"09 7237392"
151;"Helsinki";"18.4.1952";"pekka.rautiainen@demodomain.fi";"Pekka";"Rautiainen";"90 4556135";"00160";"Vuorikatu 16 D 57";"Pekka";"180452-683M";"90 8378994"
152;"Helsinki";"23.7.1940";"timo.enonsalo@demodomain.fi";"Timo Kalervo";"Enonsalo";" 5392847";"00120";"Bulevardi 1 I 94";"Timo";"230740-465C";" 7872103"
153;"Helsinki";"13.9.1955";"kai.kavelahti@demodomain.fi";"Kai Ilmari";"Kavelahti";"09 2963586";"00120";"Bulevardi 40 H 44";"Kai";"130955-261O";" 8702687"
154;"Helsinki";"1.8.1946";"reima.ikonen@demodomain.fi";"Reima Antero";"Ikonen";" 3677880";"00130";"Kasarminkatu 53 H 98";"Reima";"010846-459P";" 2222806"
155;"Helsinki";"12.7.1951";"seija.aaltonen@demodomain.fi";"Seija Marjatta";"Aaltonen";"09 5854873";"00110";"Tehtaankatu 17 C 68";"Seija";"120751-275B";"09 645363"
156;"Helsinki";"8.1.1958";"heidi.honkanen@demodomain.fi";"Heidi";"Honkanen";" 2102789";"00140";"Keskuskatu 43 B 32";"Heidi";"080158-452R";" 2470276"
157;"Helsinki";"7.2.1939";"ulla-maija.grönroos@demodomain.fi";"Ulla-Maija";"Grönroos";" 6984847";"00110";"Mikonkatu 95 A 87";"Ulla-Maija";"070239-516A";" 189379"
158;"Helsinki";"24.10.1943";"marja-liisa.sahalampi@demodomain.fi";"Marja-Liisa";"Sahalampi";" 5941100";"00140";"Keskuskatu 97 C 5";"Marja-Liisa";"241043-526F";" 4893293"
159;"Helsinki";"3.10.1950";"anne.kainuunmäki@demodomain.fi";"Anne Maria";"Kainuunmäki";" 3595766";"00130";"Annankatu 57 I 24";"Anne";"031050-884S";" 3730508"
161;"Helsinki";"8.2.1955";"hilkka.lindberg@demodomain.fi";"Hilkka";"Lindberg";" 3761621";"00110";"Tehtaankatu 16 E 94";"Hilkka";"080255-2684";" 4175239"
162;"Helsinki";"9.7.1953";"evita.blom@demodomain.fi";"Evita";"Blom";" 3418702";"00110";"Merikatu 30 K 13";"Evita";"090753-012G";" 3199201"
164;"Helsinki";"13.12.1951";"maire.lindfors@demodomain.fi";"Maire";"Lindfors";" 1511891";"00140";"Uudenmaankatu 34 I 4";"Maire";"131251-181Q";" 6903096"
166;"Helsinki";"5.3.1944";"brita.manninen@demodomain.fi";"Brita Anneli";"Manninen";" 7210298";"00110";"Mikonkatu 25 F 79";"Brita";"050344-641S";" 2502805"
167;"Helsinki";"21.11.1956";"hannele.erjasmaa@demodomain.fi";"Hannele";"Erjasmaa";" 7867854";"00110";"Kapteeninkatu 54 C 16";"Hannele";"211156-389F";" 1211009"
169;"Helsinki";"17.7.1956";"toivo.henriksson@demodomain.fi";"Toivo";"Henriksson";" 641802";"00110";"Tehtaankatu 96 E 61";"Toivo";"170756-497T";" 2885881"
170;"Helsinki";"27.12.1965";"timo.aarikki@demodomain.fi";"Timo Kimmo Tapio";"Aarikki";" 991350";"00110";"Hallituskatu 74 H 19";"Timo";"271265-418O";" 5115624"
171;"Helsinki";"26.5.1955";"pirjo.puolasalo@demodomain.fi";"Pirjo";"Puolasalo";" 2568431";"00110";"Mikonkatu 79 E 84";"Pirjo";"260555-4204";" 5466141"
172;"Helsinki";"21.1.1940";"urpo.mattila@demodomain.fi";"Urpo";"Mattila";" 915308";"00110";"Hallituskatu 63 D 83";"Urpo";"210140-5021";" 1910998"
174;"Helsinki";"17.10.1954";"kai.fagerström@demodomain.fi";"Kai";"Fagerström";"040 2828362";"00120";"Pohjois-Esplanadi 85 E 69";"Kai";"171054-279W";"90 7634842"
175;"Helsinki";"1.3.1953";"olli.salo@demodomain.fi";"Olli";"Salo";"90 6823825";"00140";"Uudenmaankatu 38 E 21";"Olli";"010353-313L";"90 3844935"
177;"Helsinki";"19.7.1953";"linda.hatve@demodomain.fi";"Linda";"Hatve";" 2720484";"00140";"Keskuskatu 9 H 85";"Linda";"190753-149J";" 8672820"
178;"Helsinki";"6.10.1948";"petteri.noppola@demodomain.fi";"Petteri";"Noppola";" 2520529";"00120";"Erottaja 85 K 94";"Petteri";"061048-5275";"09 1114678"
179;"Helsinki";"10.12.1957";"stina.otramäki@demodomain.fi";"Stina";"Otramäki";" 1149371";"00110";"Kapteeninkatu 26 C 23";"Stina";"101257-841U";" 7992014"
180;"Helsinki";"8.3.1962";"jaana.ilpovaara@demodomain.fi";"Jaana";"Ilpovaara";" 713570";"00120";"Bulevardi 47 G 10";"Jaana";"080362-744Z";" 1676615"
181;"Helsinki";"20.7.1960";"heikki.pulkkinen@demodomain.fi";"Heikki";"Pulkkinen";" 4758235";"00140";"Keskuskatu 38 K 76";"Heikki";"200760-753Q";" 8792851"
183;"Helsinki";"24.3.1957";"pertti.kajander@demodomain.fi";"Pertti Olavi";"Kajander";" 1322759";"00100";"Mannerheimintie 71 K 43";"Pertti";"240357-2881";" 6703065"
184;"Helsinki";"28.6.1944";"eva.grönholm@demodomain.fi";"Eva";"Grönholm";" 7976827";"00110";"Hallituskatu 10 C 25";"Eva";"280644-993W";" 8211126"
186;"Helsinki";"15.7.1955";"kari-pekka.ahlgren@demodomain.fi";"Kari-Pekka";"Ahlgren";" 2821617";"00100";"Aleksanterinkatu 4 H 22";"Kari-Pekka";"150755-0341";" 2550848"
