id,apartment_reservation,account_number,added_to_be_sent_to_sap_at,due_date,invoice_number,reference_number,sent_to_sap_at,type,value
355,222,FI8612345612345678,1.6.2022,12.4.2022,000000355,73000003555,,RESERVATION_FEE,1 681.88
356,222,FI2112345600000785,1.6.2022,30.8.2022,000000356,73000003568,,PAYMENT_1,5 969.00
357,222,FI2112345600000785,1.6.2022,15.12.2022,000000357,73000003571,,PAYMENT_2,19 673.00
358,222,FI8612345612345678,1.6.2022,30.3.2023,000000358,73000003584,,PAYMENT_3,21 859.00
359,222,FI8612345612345678,1.6.2022,30.6.2023,000000359,73000003597,,PAYMENT_4,21 859.00
360,222,FI0365432187654321,1.6.2022,15.2.2023,000000360,73000003607,,PAYMENT_5,27 324.00
361,222,FI8612345612345678,,9.9.9999,000000361,73000003610,,PAYMENT_6,8 744.00
362,222,FI8612345612345678,,9.9.9999,000000362,73000003623,,PAYMENT_7,2 187.25
363,220,FI8612345612345678,1.6.2022,12.4.2022,000000363,73000003636,,RESERVATION_FEE,1 681.88
364,220,FI2112345600000785,1.6.2022,30.8.2022,000000364,73000003649,,PAYMENT_1,8 240.00
365,220,FI2112345600000785,1.6.2022,15.12.2022,000000365,73000003652,,PAYMENT_2,25 512.00
366,220,FI8612345612345678,1.6.2022,30.3.2023,000000366,73000003665,,PAYMENT_3,28 347.00
367,220,FI8612345612345678,1.6.2022,30.6.2023,000000367,73000003678,,PAYMENT_4,28 347.00
368,220,FI0365432187654321,1.6.2022,15.2.2023,000000368,73000003681,,PAYMENT_5,35 434.00
369,220,FI8612345612345678,,9.9.9999,000000369,73000003694,,PAYMENT_6,11 339.00
370,220,FI8612345612345678,,9.9.9999,000000370,73000003704,,PAYMENT_7,2 833.41
371,286,FI8612345612345678,1.6.2022,12.4.2022,000000371,73000003717,,RESERVATION_FEE,1 681.88
372,286,FI2112345600000785,1.6.2022,30.8.2022,000000372,73000003720,,PAYMENT_1,6 130.00
