id,type,value,account_number,due_date,reference_number,apartment_reservation_id
355,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003555,56
356,PAYMENT_1,5 969.00,FI2112345600000785,30.8.2022,73000003568,56
357,PAYMENT_2,19 673.00,FI2112345600000785,15.12.2022,73000003571,56
358,PAYMENT_3,21 859.00,FI8612345612345678,30.3.2023,73000003584,56
359,PAYMENT_4,21 859.00,FI8612345612345678,30.6.2023,73000003597,56
360,PAYMENT_5,27 324.00,FI0365432187654321,15.2.2023,73000003607,56
361,PAYMENT_6,8 744.00,FI8612345612345678,9.9.9999,73000003610,56
362,PAYMENT_7,2 187.25,FI8612345612345678,9.9.9999,73000003623,56
363,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003636,57
364,PAYMENT_1,8 240.00,FI2112345600000785,30.8.2022,73000003649,57
365,PAYMENT_2,25 512.00,FI2112345600000785,15.12.2022,73000003652,57
366,PAYMENT_3,28 347.00,FI8612345612345678,30.3.2023,73000003665,57
367,PAYMENT_4,28 347.00,FI8612345612345678,30.6.2023,73000003678,57
368,PAYMENT_5,35 434.00,FI0365432187654321,15.2.2023,73000003681,57
369,PAYMENT_6,11 339.00,FI8612345612345678,9.9.9999,73000003694,57
370,PAYMENT_7,2 833.41,FI8612345612345678,9.9.9999,73000003704,57
371,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003717,58
372,PAYMENT_1,6 130.00,FI2112345600000785,30.8.2022,73000003720,58
373,PAYMENT_2,20 087.00,FI2112345600000785,15.12.2022,73000003733,58
374,PAYMENT_3,22 319.00,FI8612345612345678,30.3.2023,73000003746,58
375,PAYMENT_4,22 319.00,FI8612345612345678,30.6.2023,73000003759,58
376,PAYMENT_5,27 899.00,FI0365432187654321,15.2.2023,73000003762,58
377,PAYMENT_6,8 928.00,FI8612345612345678,9.9.9999,73000003775,58
378,PAYMENT_7,2 232.10,FI8612345612345678,9.9.9999,73000003788,58
379,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003791,59
380,PAYMENT_1,8 502.00,FI2112345600000785,30.8.2022,73000003801,59
381,PAYMENT_2,26 187.00,FI2112345600000785,15.12.2022,73000003814,59
382,PAYMENT_3,29 097.00,FI8612345612345678,30.3.2023,73000003827,59
383,PAYMENT_4,29 097.00,FI8612345612345678,30.6.2023,73000003830,59
384,PAYMENT_5,36 371.00,FI0365432187654321,15.2.2023,73000003843,59
385,PAYMENT_6,11 639.00,FI8612345612345678,9.9.9999,73000003856,59
386,PAYMENT_7,2 908.11,FI8612345612345678,9.9.9999,73000003869,59
387,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003872,60
388,PAYMENT_1,6 277.00,FI2112345600000785,30.8.2022,73000003885,60
389,PAYMENT_2,20 465.00,FI2112345600000785,15.12.2022,73000003898,60
390,PAYMENT_3,22 739.00,FI8612345612345678,30.3.2023,73000003908,60
391,PAYMENT_4,22 739.00,FI8612345612345678,30.6.2023,73000003911,60
392,PAYMENT_5,28 424.00,FI0365432187654321,15.2.2023,73000003924,60
393,PAYMENT_6,9 096.00,FI8612345612345678,9.9.9999,73000003937,60
394,PAYMENT_7,2 273.38,FI8612345612345678,9.9.9999,73000003940,60
395,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000003953,61
396,PAYMENT_1,11 141.00,FI2112345600000785,30.8.2022,73000003966,61
397,PAYMENT_2,32 972.00,FI2112345600000785,15.12.2022,73000003979,61
398,PAYMENT_3,36 636.00,FI8612345612345678,30.3.2023,73000003982,61
399,PAYMENT_4,36 636.00,FI8612345612345678,30.6.2023,73000003995,61
400,PAYMENT_5,45 794.00,FI0365432187654321,15.2.2023,73000004004,61
401,PAYMENT_6,14 654.00,FI8612345612345678,9.9.9999,73000004017,61
402,PAYMENT_7,3 663.10,FI8612345612345678,9.9.9999,73000004020,61
403,RESERVATION_FEE,1 681.88,FI8612345612345678,12.4.2022,73000004033,62
404,PAYMENT_1,7 262.00,FI2112345600000785,30.8.2022,73000004046,62
405,PAYMENT_2,22 999.00,FI2112345600000785,15.12.2022,73000004059,62
